Datetime,Ticker,Open,High,Low,Close,Volume
2020-12-17 09:30:00-05:00,NVDA,533.8200073242188,534.0,533.780029296875,533.8200073242188,182431
2020-12-17 09:31:00-05:00,NVDA,533.8200073242188,535.1799926757812,533.739990234375,535.0750122070312,60354
2020-12-17 09:32:00-05:00,NVDA,535.0700073242188,535.0700073242188,533.469970703125,534.6591186523438,40676
2020-12-17 09:33:00-05:00,NVDA,534.5700073242188,535.0599975585938,534.2999877929688,534.4199829101562,41424
2020-12-17 09:34:00-05:00,NVDA,534.375,534.6699829101562,532.9099731445312,533.4450073242188,37370
2020-12-17 09:35:00-05:00,NVDA,533.6500244140625,533.77001953125,531.7700805664062,532.27001953125,34848
2020-12-17 09:36:00-05:00,NVDA,532.02001953125,533.20947265625,532.0,532.47998046875,44788
2020-12-17 09:37:00-05:00,NVDA,532.3699951171875,533.5,532.02001953125,533.5,25877
2020-12-17 09:38:00-05:00,NVDA,533.5177001953125,533.5177001953125,532.0,532.219970703125,21642
2020-12-17 09:39:00-05:00,NVDA,532.2000122070312,533.22998046875,531.7999877929688,532.8900146484375,25047
2020-12-17 09:40:00-05:00,NVDA,532.8900146484375,532.8900146484375,531.7999877929688,532.1317138671875,14349
2020-12-17 09:41:00-05:00,NVDA,532.010009765625,532.1953125,531.7000122070312,531.75,17277
2020-12-17 09:42:00-05:00,NVDA,531.5321044921875,532.010009765625,531.469970703125,532.010009765625,17511
2020-12-17 09:43:00-05:00,NVDA,532.010009765625,532.2999877929688,531.75,531.75,13421
2020-12-17 09:44:00-05:00,NVDA,531.8099975585938,532.198974609375,531.6799926757812,531.6799926757812,20017
2020-12-17 09:45:00-05:00,NVDA,531.6422119140625,531.7116088867188,531.2100219726562,531.3150024414062,25169
2020-12-17 09:46:00-05:00,NVDA,531.3400268554688,532.5700073242188,531.3400268554688,532.489990234375,23152
2020-12-17 09:47:00-05:00,NVDA,532.5,532.6954956054688,532.160400390625,532.3300170898438,16704
2020-12-17 09:48:00-05:00,NVDA,532.1900024414062,533.4199829101562,532.0800170898438,533.240478515625,32749
2020-12-17 09:49:00-05:00,NVDA,533.243408203125,533.5399780273438,532.8499755859375,533.4500122070312,24150
